name,description,price,stock,imageUrl,categoryName
Men's Casual Sneakers,"Lightweight mesh, cushioned sole",1999,300,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80,Fashion
Women's Running Shoes,"Breathable knit upper, responsive midsole",2499,220,https://images.unsplash.com/photo-1543163521-1bf539c55dd1?auto=format&fit=crop&w=800&q=80,Fashion
Men's Slim Fit Jeans,"Stretch denim, mid-rise fit",1299,400,https://images.unsplash.com/photo-1542272604-787c3835535d?auto=format&fit=crop&w=800&q=80,Fashion
Women's Kurti Set,"Cotton blend, festive print",899,350,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=800&q=80,Fashion
Leather Wallet,"Genuine leather, RFID blocking",799,500,https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=800&q=80,Fashion
Aviator Sunglasses,"UV400 polarized lenses",599,280,https://images.unsplash.com/photo-1572635196233-14b492f7fb42?auto=format&fit=crop&w=800&q=80,Fashion
Queen Size Bedsheet Set,"300 TC cotton, 4 pieces",1499,180,https://images.unsplash.com/photo-1631049307264-da0ec9d70304?auto=format&fit=crop&w=800&q=80,Home & Furniture
Study Table with Shelf,"Engineered wood, compact design",4999,55,https://images.unsplash.com/photo-1518455027359-f3f8164ba6bd?auto=format&fit=crop&w=800&q=80,Home & Furniture
Office Chair Ergonomic,"Lumbar support, adjustable height",6999,65,https://images.unsplash.com/photo-1580480051063-fd921d76291d?auto=format&fit=crop&w=800&q=80,Home & Furniture
LED Desk Lamp,"3 color modes, touch dimmer",899,240,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?auto=format&fit=crop&w=800&q=80,Home & Furniture
Non-stick Cookware Set,"5-piece, induction compatible",2999,120,https://images.unsplash.com/photo-1529692236671-f1f6cf9683ba?auto=format&fit=crop&w=800&q=80,Home & Furniture
Vacuum Cleaner,"Cordless, HEPA filter, 40min runtime",8999,40,https://images.unsplash.com/photo-1558317374-0bc8c8f63a7f?auto=format&fit=crop&w=800&q=80,Home & Furniture
Face Wash Vitamin C,"Brightening formula, 100ml",299,600,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?auto=format&fit=crop&w=800&q=80,Beauty & Personal Care
Perfume Eau de Parfum,"Long lasting fragrance, 100ml",1999,150,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Beauty & Personal Care
Electric Trimmer,"Cordless, 90min runtime, waterproof",1499,200,https://images.unsplash.com/photo-1621607512214-68297480165e?auto=format&fit=crop&w=800&q=80,Beauty & Personal Care
Hair Dryer 2000W,"Ionic technology, 2 speed settings",1299,130,https://images.unsplash.com/photo-1522338242992-e1a54906a8e8?auto=format&fit=crop&w=800&q=80,Beauty & Personal Care
Yoga Mat 6mm,"Anti-slip surface, carrying strap included",699,320,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?auto=format&fit=crop&w=800&q=80,Sports & Books
Cricket Bat Kashmir Willow,"Full size, rubber grip handle",1999,85,https://images.unsplash.com/photo-1624526279023-5d2a6b0b0b0b?auto=format&fit=crop&w=800&q=80,Sports & Books
Bestseller Novel,"Paperback edition",399,500,https://images.unsplash.com/photo-1544947950-fa07a98d237f?auto=format&fit=crop&w=800&q=80,Sports & Books
Adjustable Dumbbells 20kg,"Home gym pair set",4999,45,https://images.unsplash.com/photo-1517836357463-4aa95e956833?auto=format&fit=crop&w=800&q=80,Sports & Books
Premium Basmati Rice 5kg,"Aged long grain rice",699,400,https://images.unsplash.com/photo-1586201375761-b1f5c0e7a2b?auto=format&fit=crop&w=800&q=80,Grocery & Gourmet
Extra Virgin Olive Oil 1L,"Cold pressed",899,250,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&w=800&q=80,Grocery & Gourmet
Dark Chocolate Assorted,"500g gift pack",499,350,https://images.unsplash.com/photo-1481391319762-47dff72954a0?auto=format&fit=crop&w=800&q=80,Grocery & Gourmet
Green Tea 100 Bags,"Antioxidant blend",349,420,https://images.unsplash.com/photo-1556679343-c7306c1976bc?auto=format&fit=crop&w=800&q=80,Grocery & Gourmet
